1 Päärakennus ;;
 ;5354;354
6 Konetekniikka 3 ;6luentosali ;118
 ;6pikkupalaveri ;226
 ;6seminaari ;117a 
7 Konetekniikka 2 ; ; 
 ;7211a ;211a 
 ;7223;223
8 Konetekniikka 1 ; ; 
 ;8101;101
 ;8148;148
 ;8149;149
 ;8150;150
 ;8201;201
 ;8202;202
 ;8215;215
 ;8216;216
 ;8323;323
 ;8326;326
 ;8342;342
 ;8345;345
 ;8348;348
 ;8157b ;157b 
 ;8203b ;203b 
 ;8213a ;213a 
 ;8237c ;237c 
 ;8302b ;302b 
 ;8324b ;324b 
 ;8343b ;343b 
 ;8CAEluokka ;344
9 Nano-talo ; ; 
 ;9161;161
 ;9204;204
 ;9227;227
 ;9228;228
11 Kemian tekniikka ; ; 
 ;11A303 ;A303 
 ;11C229 ;C229 
 ;11D422 ;D422 
 ;11F505b ;F505b 
 ;11Ke5 ;D311 
 ;11Luentosali1 ;A305 
 ;11Luentosali2 ;A304 
 ;11Luentosali3 ;A302 
 ;11Luentosali4 ;C301 
 ;11Luentosali6 ;D301a 
 ;11luokka1 ;B016 
 ;11luokka2 ;B017 
 ;11luokka3 ;B018 
12 Materiaalitekniikka ; ; 
 ;12010;Oppimistilan neuvotteluhuone 
 ;12011;11
 ;1223;ADP-tila (SmartBoard) 
 ;1226;APD (Dataprojektori) 
 ;12109;Kanslian kokoushuone 
 ;12144;144
 ;12147;juhla-aula 
 ;12160b ;160b 
 ;12232;232
 ;12242;242
 ;12305a ;sauna 
 ;12B157 ;Kirjaston neuvotteluhuone 
 ;12B212 ;Neuvotteluhuone 1 
 ;12B213 ;Neuvotteluhuone 2 
 ;12B380 ;B380 
 ;12Kalliotekniikka ;B205 
 ;12KorroosioJaMVTsemina ;B236 
 ;12LuentosaliV2 ;145
 ;12MateriaalitieteenSem ;225
 ;12MekProsSemina ;B306 
 ;12MetallurgianSemina ;B329 
 ;12V1 ;C100 
 ;12V3 ;C101 
13 Puunjalostustekniikka 1 ; ; 
 ;13237;237
 ;13Halko ;Halko / 220 
 ;13Kuitu ;Kuitu / 225 
 ;13L1 ;241
 ;13L2 ;240
 ;13Lastu ;Lastu / 228 
 ;13Pihka ;Pihka / 322 
 ;13Pulpperi ;Pulpperi / 140 
14 Puunjalostustekniikka 2 ; ; 
 ;14218a ;218a 
 ;14121;121
 ;14122;122
 ;14123;123
 ;14128;Kanto 
 ;14129;Kaarna 
 ;14130;Käpy 
 ;14218b ;218b 
15 Kirjasto ;15126;126
 ;15127;127
 ;15213;213
16 Laivatekniikka ;16127;127
 ;16134;134
 ;16103b ;Neuvotteluhuone 
 ;16108c ;108c 
 ;161Cseminaarisali ;205
 ;16ATKluokka ;104a 
 ;16L204 ;L204 
17 Maarintalo ; ; 
 ;17203;203
 ;17204;204
 ;17205;205
 ;17206;206
 ;17207;207
 ;17211;211
 ;17212;212
 ;17214;214
 ;17215;215
 ;17216;216
 ;17218;218
 ;17219;219
 ;17220;220
 ;17221;221
 ;17222;222
 ;17224;224
 ;17226;226
 ;17227;227
 ;17229;229
 ;17245;245
 ;17255;255
 ;17258;258
 ;17260;260
 ;17262;262
 ;17264;264
 ;17266;266
 ;17268;268
 ;17Maari-A ;167
 ;17Maari-B ;Mikroluokka 5 
 ;17Maari-C ;Mikroluokka 3 
 ;17Maari-D ;186
 ;17Maari-E ;172
 ;17Maari-F ;159
 ;17Maari-K ;243
 ;17Maari-L ;242
 ;17Maari-M ;278
22 Lämpömiehenkuja 2 ; ; 
 ;22Alvar/Aino/Elissa ;C110-C114 
 ;22BakerHouse ;C212 
 ;22C208 ;C208 
 ;22C209 ;C209 
 ;22C216 ;C216 
 ;22C259 ;C259 
 ;22NeueVahr ;C211 
 ;22VillaKokkonen ;C230 
 ;22VillaTammekann ;C210 
27 Arkkitehtuuri/Paja ; ; 
 ;27305;305
 ;27PS1 ;306
 ;27PS2 ;310
28 YTK ; ; 
 ;28YTKluento ;215
 ;28307;307
29 Sähkötalo 1 ; ; 
 ;29ST1 ;223
 ;29203;Edison 
 ;29212;Maxwell 
 ;29231;231
 ;29271;271
 ;29326;326
 ;29329;329
 ;29330;330
 ;29331;331
 ;29341;341
 ;29379; 
 ;29381;H1 
 ;29428;428
 ;29432;432
 ;29433;433
30 Tietotekniikka ; ; 
 ;30A106 ;A106 
 ;30A117 ;A117 
 ;30A120 ;A120 
 ;30A123 ;A123 
 ;30A136 ;A136 
 ;30A142 ;A142 
 ;30A211 ;A211 
 ;30A218 ;A218 
 ;30A225 ;A225 
 ;30A232 ;A232 
 ;30A243 ;A243 
 ;30A319 ;A319 
 ;30A322 ;A322 
 ;30A328 ;A328 
 ;30A346 ;A346 
 ;30B115 ;B115 
 ;30B122 ;B122 
 ;30B130 ;B130 
 ;30B219 ;B219 
 ;30B353 ;B353 
 ;30B357 ;B357 
 ;30C106 ;C106 
 ;30C307 ;C307 
 ;30T1 ;C202 
 ;30T2 ;C105 
 ;30T3 ;C206 
 ;30T4 ;A238 
 ;30T5 ;A133 
 ;30TSauna ;T-talon sauna 
32 HTC ; ; 
 ;32CA504 ;CA504 
 ;32CB504 ;CB504 
 ;32CB604 ;CB604 
33 Innopoli 2 ; ; 
 ;33A314 ;A314 
 ;33A317 ;A317 
 ;33A325 ;A325 
 ;33A346 ;A346 
 ;33B317 ;Atlantis 
 ;33B345 ;Mars 
 ;33C313 ;Saturnus 
 ;33C325 ;Merkurius 
 ;33C331 ;C331 
 ;33C412 ;C412 
 ;33C414 ;C414 
 ;33C424 ;C424 
 ;33C425 ;C425 
 ;33C432 ;Seminaarisali 
 ;33D320 ;D320 
 ;33E332 ;E332 
 ;33E432 ;E432 
 ;33E456 ;E456 
34 Vesilaboratorio ; ; 
 ;34286;286
 ;34287;287
